id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,dob_datetime,dob_ordinal,strike_efficiency_ratio,win_ratio,total_fights,weighted_strike_efficiency_ratio,sex,fighter_type,estilo,PC1,PC2,ape_index,BMI,BSA
5442f1bc4b47eaf3,Chris Curtis,Action-Man,32,12,0,177.8,77.11,190.5,Orthodox,1987/07/15,5.98,50,6.19,54,0.0,0,82,0.0,1987-07-15,725567,0.9660743134087237,0.7272727272727273,11,0.9660743134087237,Male,1,Wrestler,-1.4194376996349922,2.018696205711471,1.0714285714285714,24.39,1.952
ffe9703408fb5964,David Onama,,14,2,0,180.34,65.77,187.96,Orthodox,1994/06/07,5.24,50,4.73,52,1.08,30,52,0.5,1994-06-07,728086,1.1078224101479914,0.875,8,1.1078224101479914,Male,1,Wrestler,-0.06093014026079896,1.3499687261335092,1.0422535211267605,20.22,1.815
3dc3022232b79c7a,Brian Foster,The Foster Boy,27,10,0,175.26,77.11,180.34,Orthodox,1984/04/03,3.3,39,1.63,65,3.67,60,37,1.8,1984-04-03,724369,2.0245398773006134,0.7297297297297297,5,2.0245398773006134,Male,0,Striker,1.7936975252042087,-0.9588088542139304,1.028985507246377,25.1,1.938
bfc2fc38a0e20211,Matt Grice,The Real One,15,5,0,172.72,65.77,177.8,Orthodox,1981/07/29,4.09,53,2.69,56,2.19,37,82,0.5,1981-07-29,723390,1.520446096654275,0.75,7,1.520446096654275,Male,0,Striker,0.6869794330555724,0.8667548404327498,1.0294117647058825,22.05,1.776
a1b0715c4fd2dbd3,Azamat Gashimov,,8,3,0,167.64,56.7,171.79894910168682,Orthodox,1990/04/07,1.24,21,4.75,53,1.69,25,0,0.0,1990-04-07,726564,0.26105263157894737,0.7272727272727273,2,0.26105263157894737,Male,1,Wrestler,-1.2232779401852916,-1.8142136864481897,1.0248088111529876,20.18,1.625
bb1a2cdad6ff34db,Jason Knight,The Kid,20,5,0,177.8,65.77,180.34,Orthodox,1992/07/14,2.95,33,3.02,51,1.31,31,47,1.7,1992-07-14,727393,0.9768211920529802,0.8,9,0.9768211920529802,Male,1,Wrestler,-0.20729130352806155,-1.1857841582672746,1.0142857142857142,20.8,1.802
cce79e827569f26e,Ronys Torres,,35,5,0,170.18,70.31,174.40196348201545,Orthodox,1975/08/13,0.87,26,1.93,57,4.0,47,16,0.5,1975-08-13,721213,0.45077720207253885,0.875,2,0.45077720207253885,Male,0,Striker,0.6678448464746781,-2.168550078792151,1.0248088111529876,24.28,1.823
681399317dbf4701,Uros Medic,The Doctor,11,3,0,185.42,77.11,180.34,Southpaw,1993/04/25,5.47,60,3.5,56,0.36,50,55,0.0,1993-04-25,727678,1.5628571428571427,0.7857142857142857,8,1.5628571428571427,Male,1,Wrestler,0.3231926313822474,2.27933068338478,0.9726027397260275,22.43,1.993
2c010b26a3306969,Orion Cosce,Galaxy,8,2,0,180.34,77.11,180.34,Switch,1994/07/15,2.77,53,4.02,44,1.92,40,61,0.0,1994-07-15,728124,0.6890547263681592,0.8,3,0.6890547263681592,Male,0,Striker,0.45531216974946154,0.5125110662619002,1.0,23.71,1.965
bbfca6d5c27d9cd8,Edwin Figueroa,El Feroz,9,5,0,170.18,61.23,175.26,Orthodox,1984/07/31,2.57,39,3.06,51,0.2,100,37,0.6,1984-07-31,724488,0.8398692810457515,0.6428571428571429,6,0.8398692810457515,Male,0,Striker,0.8487954373976914,-0.3964747155066032,1.0298507462686566,21.14,1.701
